, '姓名', '简介,,,,,,,,,,,,,,,,,
253', '陈祥宝', '陈祥宝（1956.4.25- ）复合材料专家,生于江苏省常熟市，1978.3～1984.7就读于北京航空航天大学材料系，获学士和硕士学位，1991年毕业于鲁汶大学，获工学博士学位,现任中国航空工业集团公司北京航空材料研究院研究员、博士生导师、副院长，兼任结构性碳纤维先进复合材料国防科技重点国家工程实验室主任,,,,,,,,,,,,,,,
254', '戴厚良', '戴厚良（1963.08.20-），石油化工专家，江苏省扬州市人,1985年毕业于江苏化工学院，2006年获南京工业大学化学工程专业博士学位,现任中国石油化工集团公司董事长、党组书记、科学技术委员会主任，中国化工学会理事长，中国共产党第十九届中央委员会候补委员,,,,,,,,,,,,,,,
255', '丁文江', '丁文江（1953.3.28- ）轻合金研究专家,生于上海市，原籍浙江绍兴,1981年毕业于上海交通大学铸造专业,现任轻合金精密成型国家工程研究中心主任,曾任上海交通大学副校长、上海市科委副主任,在国际上担任或曾担任：世界轻合金联盟轮值主席，中挪（中国和挪威）轻合金研究中心中方主席；日本九州大学外部评价委员；澳大利亚莫纳什大学顾问；美国通用—交大先进材料制造联合实验室主任,,,,,,,,,,,,
256', '付贤智', '付贤智（1957.7.6- ）无机化工专家,生于福建省邵武市,1982年毕业于北京大学化学系，1991年获北京大学理学博士学位,现任福州大学校长、教授、国家环境光催化工程技术研究中心主任、省部共建能源与环境光催化国家重点实验室主任，并担任国务院学位委员会委员、中国化学会常务理事、国民核生化灾害防护国家重点实验室学术委员会主任等学术兼职,,,,,,,,,,,,,,
257', '干勇', '干勇，教授级高级工程师，冶金材料专家，中国工程院院士（2001年），博士生导师,1994年至今任连铸技术国家工程研究中心主任， 2001年4月至今任钢铁研究总院院长,现兼任中国稀土行业协会会长、中国稀土学会理事长、中国金属学会理事长等职,2002年当选中国共产党十六大代表、主席团成员，2007年当选中国共产党十七大代表,2010年6月当选中国工程院副院长，现任十二届全国政协委员及人口、资源与环境委员会副主任，国家新材料产业发展专家指导委员会主任,,,,,,,,,,,,,
258', '高从堦', '高从堦（1942.11.12- ）化工分离专家,山东省即墨市人,1965年毕业于山东海洋学院,杭州水处理技术研究开发中心研究员,,,,,,,,,,,,,,
259', '何季麟', '何季麟（1945.9.1）,冶金与材料工程专家,生于河南省开封市, 原籍河南开封,1969 年毕业于北京钢铁学院,现任 中色西北稀有金属材料研究院名誉院长,曾任宁夏有色金属集团公司总工程师, 中国有色金属学会副理事长,获冶金工程学士学位,,,,,,,,,
260', '胡永康', '胡永康（1940.2.5- ）石油炼制专家,云南省曲靖市人,1961年毕业于云南大学,现任中国石油化工股份有限公司抚顺石油化工研究院学术委员会高级顾问，教授级高级工程师,曾任中国石油化工股份有限公司抚顺石油化工研究院总工程师,,,,,,,,,,,,,
261', '黄伯云', '黄伯云（1945.11.24- ）粉末冶金专家,出生于湖南省南县,1970年毕业于中南矿冶学院，1980年赴美国留学并完成硕士、博士、博士后学习，1988年回国,现任中国科学技术协会副主席，中国材料研究学会理事长，中南大学教授,,,,,,,,,,,,,,
262', '黄小卫(女)', '黄小卫，女，（1962.01-）， 有色金属冶金专家，湖南省临澧县人,1983年毕业于中南大学， 2008年获东北大学工学博士学位,现任有研科技集团有限公司（原北京有色金属研究总院）教授级高工/首席专家，稀土材料国家工程研究中心主任，兼任中国稀土学会 稀土化学与湿法冶金专业委员会主任等,,,,,,,,,,,,,,,
263', '蹇锡高', '蹇锡高（1946.1.6- ）有机高分子材料专家,重庆市人,1969年本科毕业于大连工学院，1981年获大连理工大学硕士学位，1988-1990留学加拿大McGill大学,现任大连理工大学教授、高分子材料研究所所长、辽宁省高性能树脂工程技术研究中心主任，兼任《中国材料进展》副理事长、中国塑料加工工业协会专家委员会委员、中国新材料技术协会名誉会长等职,,,,,,,,,,,,,,
264', '姜德生', '姜德生，武汉理工大学首席教授、博士生导师，2007年当选中国工程院院士，2005年评为全国先进工作者，2001年评为全国优秀教师，2002年湖北省授予“五一”劳动奖章,现兼任中国光学工程学会光纤传感技术委员会和产业联盟主席，中国材料研究会理事，国际光学工程学会和美国光学学会会员,20多年来，姜教授一直从事光纤传感新技术的研究，经过学科交叉与技术集成研究与开发出一系列创新性成果,特别是在光纤传感敏感材料制备、光纤传感器的精密加工、工业化生产关键技术与装备等方面取得突破，建成了国内光纤传感技术领域唯一国家工程实验室，在全国率先实现了光纤传感技术的产业化；打破了国外技术封锁，形成了具有我国自主知识产权的成套生产技术与装备；为我国众多行业和重大工程及军工提供了急需的新一代传感技术,他先后主持完成了国家和省部科技项目20余项，获国家科技进步二等奖2项、国家技术发明二等奖1项、国家科技进步三等奖1项，省部一等奖3项、二等奖3项,姜教授2000年创建理工光科股份有限公司，为我国桥梁交通、火灾探测、石油石化等领域重大工程的安全监测提供光纤传感检测系统，该公司现已成为国内光纤传感领域唯一上市公司,,,,,,,,,,,,
265', '李冠兴', '李冠兴（1940.1.14- ）,核材料专家,1940年1月14日生于上海市,1962年清华大学工程物理系毕业，1966年研究生毕业,1982-1984年公派美国俄亥俄州立大学冶金工程系访问学者,现任中核北方核燃料元件有限公司名誉总经理，高级工程师，核工业特种材料研究与开发重点实验室与反应堆材料和燃料重点实验室学术委员会主任,中国核工业集团公司科技委常委,中国核学会理事长，中国核能行业协会副理事长，清华大学核能与新能源技术研究院双聘教授,中共十六大代表和十届全国政协委员,长期从事核燃料与工艺技术的研究，在生产堆燃料元件，研究堆燃料元件，靶件和铀材料的研究领域做出了重要贡献,2003年主持建成了我国第一条重水堆核电燃料元件生产线，为秦山三期重水堆（CANDU-6）核电站提供了国产化的燃料元件,著有,和等著作,,,,,
266', '李卫', '李卫（1957.12- ）磁学与磁性材料专家,生于北京市，原籍河南省洛阳市,1982年毕业于山东大学物理系磁学专业,现任钢铁研究总院副总工程师、教授级高级工程师、博士生导师，稀土永磁材料研究室主任，国家科技重点专项(稀土材料专项)专家组专家, 兼任IEEE及国际稀土永磁及应用委员会委员，亚洲磁学联盟委员会委员, 中国稀土学会理事，全国磁性材料与器件行业协会副理事长,,,,,,,,,,,,
267', '李言荣', '李言荣（1961.7.10-），电子信息材料专家，四川省射洪县人,1992年获中科院长春应化所博士学位，曾留学德国Karlsruhe科研中心和美国Colorado at Boulder大学,现任电子科技大学教授、校长，电子薄膜与集成器件国家重点实验室主任,,,,,,,,,,,,,,,
268', '李元元', '李元元（1958.10.3- ）粉末冶金和铸造专家,广东省梅县人,1982年本科毕业于湖南大学获工学学士学位，1987年和1998年研究生毕业于华南理工大学分别获工学硕士和工学博士学位,现任吉林大学教授、博士生导师、校长,兼任中国材料研究学会理事长、中国科协第九届全国委员会常务委员会委员、中国高等教育学会副会长,,,,,,,,,,,,,
269', '李仲平', '李仲平（1964.8.5- ）航天复合材料专家,湖北省安陆市人,1986年毕业于北京航空学院,后获工学博士学位,现任中国运载火箭技术研究院航天材料及工艺研究所副所长，研究员，功能性碳纤维复合材料国家工程中心实验室主任，国家重大科技专项材料分中心主任，总装备部先进材料技术专业组副组长等,,,,,,,,,,,,,
270', '刘炯天', '刘炯天，出生日期1963.1.20，矿物加工工程专家,生于河南省内乡县，原籍河南省西峡县,1983年毕业于东北工学院选矿工程专业,现任郑州大学教授、博士生导师,兼任煤加工与高效洁净利用教育部重点实验室主任、国家环境保护清洁煤炭与矿区生态恢复工程技术中心主任,获矿物加工工程博士学位,长期从事微细粒分选与洁净煤技术研究与工程实践,发明旋流-静态微泡“柱式选煤”方法，开发粗扫选一体化的“两段式选矿”回路，形成“多流态梯级强化浮选”的中国柱分选技术；获国家技术发明二等奖，冶金工业科技一等奖，中国有色金属工业科技一等奖,发明矿物-硬度法难沉降煤泥水的绿色澄清方法，构建水质硬度调控的循环煤泥水溶液化学体系，形成“水质硬度调控的煤泥水处理”技术，获国家技术发明二等奖,开发煤炭高效脱硫降灰工艺，建立煤脱硫与超纯制备示范工程，推动我国高效选煤工艺进步及煤基材料产业发展；获国家科技进步奖二等奖两项,获授权专利17件，发表论文120篇，出版著作与教材5本,获光华工程青年科技奖，全国模范教师等称号,,,,,,
271', '刘中民', '刘中民（1964.9.24- ）河南省扶沟县人,1990年毕业于中国科学院大连化学物理研究所，获物理化学博士学位,现任中国科学院大连化学物理研究所副所长，国家能源低碳催化与工程研发中心主任，甲醇制烯烃国家工程实验室主任,,,,,,,,,,,,,,,
272', '毛新平', '毛新平（1965.6.1- ）金属压力加工专家,湖北鄂州人,2006年毕业于北京科技大学，获博士学位,现任武汉钢铁（集团）公司研究院常务副院长，曾任冶金工业部武汉钢铁设计研究总院副总工程师、广州珠江钢铁有限责任公司总工程师,,,,,,,,,,,,,,
273', '聂祚仁', '聂祚仁（1963.01.15-），难熔金属粉末冶金和铝合金领域专家，湖南省长沙市人,1983年武汉理工大学本科毕业参加工作，1997年中南大学研究生毕业获博士学位,现任北京工业大学教授、副校长，兼任中国材料研究学会副理事长、教育部科技委材料科学学部副主任，国际LCA(生命周期评价)中心联盟和Int. J. LCA中方委员；2002年至2004年曾任日本东京大学、名古屋大学客员教授,,,,,,,,,,,,,,,
274', '欧阳平凯', '欧阳平凯（1945.8.16-）  生物化工专家,生于广西平乐市，湖南省湘潭人,1981年毕业于清华大学获工学硕士学位,南京工业大学教授、校长，兼任国家生化工程技术研究中心主任,长期从事生物化工领域的教学与工程研究,组建和领导了国家生物化工技术研究中心；创造性地提出运用组合合成的方法构建与优化生物化工过程，在复杂的酶系中将反应与反应组合、反应与生物膜组合、反应与分离组合，使我国FDP、L-丙氨酸、L-苯丙氨酸、L-苹果酸的生产技术达到国际先进水平；首创了利用反应与分离耦合技术在高固含量拟低共熔体系所实现的单槽过程，大幅度提高了反应速度与产物浓度，缩短了流程，降低了成本；研发了包括气升式等系列高效生物反应器、生物分离等单元操作装置，率先形成批量生产与工程配套能力，促进了我国用生物技术生产专用化学品新领域的发展,多次获得国家和省部级奖励，“反应分离耦合技术及其在酶法合成手征性化合物中的应用”获2000年国家科技进步一等奖、“酶法合成手征性化合物新技术的研究”获1998年国家化工科技进步一等奖，“生物分离技术”获2000年江苏省教学成果一等奖,发表论文300余篇，申请专利70余项，出版专著5部,,,,,,,,,,
275', '潘复生', '潘复生（1962.07.30-），轻金属专家,浙江省金华市人,1995年在西北工业大学获得博士学位,中国工程院院士,现任重庆大学教授、博士生导师、国家镁合金材料工程技术研究中心主任；重庆市科学技术研究院院长,兼任重庆市科学技术协会主席、中国材料研究学会副理事长、澳大利亚昆士兰大学荣誉教授,,,,,,,,,,,,
276', '彭金辉', '彭金辉（1964.12.18-），有色金属冶金专家,云南景东人,1992年获得昆明理工大学有色金属冶金专业博士学位,1994-1996年在德国卡尔斯鲁厄研究中心从事博士后研究，1999年-2000年获英国皇家学会博士后奖学金，在布鲁奈尔大学从事博士后研究,现任昆明理工大学教授、博士生导师、校长，中国有色金属学会特种冶金专业委员会主任、微波能工程应用及装备技术国家地方联合工程实验室主任,中国共产党第十九届中央委员会候补委员,,,,,,,,,,,,
277', '钱锋', '钱锋（1961.4.9- ）过程控制和过程系统工程专家,江苏省镇江市人,1982年毕业于南京化工学院，1988年获华东化工学院工学硕士学位，1995年获华东理工大学工学博士学位,现任华东理工大学教授、博士导师、副校长，化工过程先进控制与优化技术教育部重点实验室主任，过程系统工程教育部工程研究中心主任，国家“973计划”项目首席科学家，国务院学位委员会控制科学与工程学科评议组成员，中国石油和化工自动化应用协会副理事长,,,,,,,,,,,,,,
278', '钱旭红', '钱旭红（1962.2.19- ）有机化工专家,生于江苏省宝应县,1982年毕业于华东化工学院，1988年于该校获工学博士学位,现任华东理工大学校长、教授，先后担任国家“973计划”项目首席科学家、中国化工学会副理事长、国家自然科学基金会咨询委员会委员(化学部)、亚洲及太平洋化工联盟主席、德国洪堡基金会学术大使、英国皇家化学会会士等,,,,,,,,,,,,,,
279', '邱定蕃', '邱定蕃（1941.10.20- ）,有色金属冶金、化工冶金专家,江西省广昌县人,1962年毕业于南昌大学，1990年通过考试公派赴加拿大皇后(Queen’s)大学学习与研究（高级访问学者）,原任北京矿冶研究总院主管科研工作副院长，现任该院研究员、博导，兼任中国有色金属学会副理事长,长期从事有色金属冶金、化工冶金的研究与开发,发明矿浆电解新工艺，实现了金属一步提取，获1998年国家技术发明二等奖（排名第一）；承担的“加压浸出”提取、分离铜镍的研究，并在国内首次实现了工业化，获1995年国家科技进步一等奖（排名第二）；研究成功的“复杂金矿资源综合利用”项目,获2002年国家科技进步二等奖（排名第一）；2004年获光华工程科技奖；2006年获何梁何利科技进步奖,他研究成功的萃取分离镍、钴技术，并在国内首次实现了工业化,此外，他在资源循环方面有较深的研究，主持和参与了许多工程院咨询战略研究项目,发表论文100余篇，学术专著3本，多次担任国际学术会议学术委员会主席或委员,,,,,,,
280', '邱冠周', '邱冠周（1949.2.2- ）矿物工程学家,广东省梅州市人,1987年9月毕业于中南工业大学矿物加工工程专业，获博士学位,曾任中南工业大学副校长、中南大学副校长，现任中南大学教授、博士生导师,长期致力于我国低品位、复杂难处理金属矿产资源加工利用研究，在细粒及硫化矿物浮选分离和铁矿直接还原等方面取得显著成绩，特别是在低品位硫化矿的生物冶金方面做出突出贡献，被授予国家有突出贡献科技专家,发表了97篇科技论文和5部专著，先后获得国家技术发明二等奖2项，国家科技进步二等奖1项，国家科技进步一等奖1项，中国高等学校十大科技进展2项；2003年担任国家自然科学基金创新群体学术带头人，2004年、2009年连续两次担任生物冶金领域国家973计划项目首席科学家，担任2011年第19届国际生物冶金大会主席，并被推选为国际生物冶金学会副会长,,,,,,,,,,,,
281', '桑凤亭', '桑凤亭（1942.3.24- ）化学激光专家,辽宁省大连市人,1964年毕业于哈尔滨工业大学,曾在美国Tulane大学化学系作访问学者,现任中国科学院大连化学物理研究所研究员、国家863短波长化学激光重点实验室主任,长期从事化学激光研究工作,从1972年开始致力于DF/HF化学激光研究，80年代从事的可见波段化学激光新体系研究处于国际领先水平；特别近十多年来，在氧碘化学激光研究中，组织解决了一系列科学和技术等难题，使我国的氧碘化学激光研究水平连续上了几个台阶，达到了国际先进水平,并在氧碘化学激光应用方面取得了较好的成绩,先后获得中科院科技进步特等奖两次（1996，1999年），科技进步二等奖一次（1994年），国家科技进步二等奖两次（2003，1997年），省部级科技进步一等奖四次（1997，1999，2001，2003年）,合作出版《化学激光》和《短波长化学激光》两本专著，发表论文70余篇,,,,,,,,
282', '舒兴田', '舒兴田（1940.4.21- ）分子筛和炼油催化剂制造专家,出生于上海市，浙江省定海市人,1964年毕业于华东化工学院,现任中石化石油化工科学研究院学术委员会副主任,,,,,,,,,,,,,,
283', '孙传尧', '孙传尧（1944.12.13- ）矿物加工工程专家,生于黑龙江省饶河县，山东省东平县人,1968年毕业于东北大学，1981年毕业于北京矿冶研究总院，获硕士学位,曾任新疆可可托海选矿厂副厂长、北京矿冶研究总院副院长，1988年2月一2007年2月任北京矿冶研究总院院长，现任矿物加工科学与技术国家重点实验室主任，中国有色金属工业 协会专家委员会副主任，中国矿业联合会高级资政，选矿委员会主任，中国有色金属学会选矿学术委员会主任,,,,,,,,,,,,,,
284', '谭天伟', '谭天伟（1964.2.7- ）生物化工专家，生于甘肃天水市，湖南湘潭人,1986年毕业于清华大学化工系,1993年获得清华大学博士学位,现任北京化工大学教授，博士导师，副校长,,,,,,,,,,,,,,
285', '屠海令', '屠海令（1946.10.05- ）半导体材料专家,北京市人,1969年毕业于天津大学,1983年获英国巴斯大学固体物理学博士学位,现任北京有色金属研究总院名誉院长，博士生导师，中国材料研究学会副理事长、中国有色金属学会副理事长、中国稀土学会副理事长,,,,,,,,,,,,,
286', '王国栋', '王国栋（1942.10.2- ）压力加工专家，出生于辽宁省大连市,1981年毕业于北京钢铁研究总院，获硕士学位,曾任东北大学轧制技术及连轧自动化国家重点实验室主任，现任2011钢铁共性技术协同创新中心副主任，东北大学轧制技术及连轧自动化国家重点实验室学委会副主任，中国金属学会轧钢学会副理事长,,,,,,,,,,,,,,,
287', '王海舟', '王海舟（1940.2.28- ）冶金分析表征专家,福建省福州市人，1963年毕业于北京大学化学系，钢铁研究总院教授级高工、博士生导师,,,,,,,,,,,,,,,,
288', '汪旭光', '汪旭光（1939.12.31- ），工业炸药与爆破技术专家，安徽省枞阳县人,1963年毕业于安徽大学,曾任北京矿冶研究总院总工程师、副院长、学术委员会主任，中国爆破行业协会会长，中国有色金属工业协会副会长等职,现任国家安全生产专家组副组长、全国安全评价工作委员会主任、公安部爆破专家组组长、公安部消防局专家组顾问，国际岩石爆破破碎委员会委员,1978年获评冶金工业部先进工作者，1982年当选第六届全国人大代表，1984年荣获首批国家级有突出贡献中青年科技专家称号，1991年享受政府特殊津贴,2000年获第三届中国工程科技光华奖，2004年获中央企业劳动模范荣誉称号，2005年获全国劳动模范荣誉称号,,,,,,,,,,,,
289', '王一德', '王一德（1938.12.31- ）压力加工专家,出生于浙江省杭州市,1968年于北京钢铁学院研究生毕业,曾任太原钢铁（集团）有限公司总工程师，现任太原钢铁（集团）有限公司董事会规划委员会副主任，山西省专家学者协会会长,,,,,,,,,,,,,,
290', '王迎军(女)', '王迎军（女）（1954.7.31- ）生物材料科学与工程专家,河北省唐县人,1978年本科毕业于华南理工大学，1981年和1997年分别在华南理工大学获硕士和博士学位,现任华南理工大学教授、校长、国家人体组织功能重建工程技术研究中心主任,兼任中国生物材料学会理事长,长期从事生物材料基础研究与工程化工作,在骨、齿科材料、血液净化材料及眼科材料等研究方面取得多项原创性成果,提出骨再生修复材料类骨仿生构建创新理念，建立“生物应答”理论雏形,发明骨再生修复材料仿生构建系列技术，实现工程化,获国家技术发明二等奖1项、省部级科技一等奖2项、二等奖2项,出版专著1本、发表SCI论文186篇,获国家发明专利授权28项,,,,,,
291', '王玉忠', '王玉忠(1961.6.16—)，有机高分子材料专家,山东文登人,1994年毕业于四川大学，获博士学位，1995年在四川大学晋升教授,现任所创建的环保型高分子材料国家地方联合工程实验室和教育部工程研究中心等研究机构主任,,,,,,,,,,,,,,
292', '王震西', '王震西，1942年9月3日生于江苏省海门市,磁性及非晶态材料专家,1964年毕业于中国科技大学,现任北京中科三环高技术股份有限公司董事长、中国科学院物理所研究员,曾任中国物理学会常委、中国材料研究学会副理事长、欧美同学会副会长,获学士学位,,,,,,,,,,,,
293', '翁宇庆', '翁宇庆（1940.01.01）钢铁材料专家,生于四川省西昌市，原籍江苏省常熟市,1963年毕业于清华大学,现任中国金属学会名誉理事长、钢铁研究总院名誉院长、国家973项目顾问组成员和国防科工局技术委员会委员,曾任钢铁研究总院院长、冶金部副部长，全国政协（科技界）委员，连续两届担任中国金属学会理事长,获美国宾夕法尼亚大学材料科学和工程博士学位和俄罗斯工程院院士称号,,,,,,,,,,,,
294', '吴锋', '吴锋（1951.06.12-），新能源材料科学家，生于北京,1981年毕业于太原工学院化工系，获工学硕士学位,中国工程院院士,曾任国家高技术（863）功能材料专家组副组长等，被国家科技部聘为973计划二次电池项目连续三期的首席科学家,现任北京理工大学能源与环境材料学科首席教授,,,,,,,,,,,,,
295', '吴以成', '吴以成（1946.11.5- ）功能材料专家,出生于广西玉林市,1970年毕业于中国科学技术大学，1986年获中国科学院福建物质结构研究所博士学位,天津理工大学教授,,,,,,,,,,,,,,
296', '谢建新', '谢建新（1958.6.14- ）材料加工工程专家,湖南省双峰县人,1982年本科毕业于中南大学，1991年日本东北大学获工学博士学位,现任北京科技大学教授，兼任中国材料研究学会副理事长,,,,,,,,,,,,,,
297', '徐德龙', '徐德龙（1952.08- ）无机非金属材料专家,甘肃兰州人,1976年毕业于西安冶金建筑学院，1983年获得南京化工学院无机非金属材料专业硕士学位，1996年获得东北大学钢铁冶金系钢铁冶金专业工学博士学位,曾任中国工程院党组成员、副院长、机关党委书记，西安建筑科技大学校长、党委副书记,,,,,,,,,,,,,,
298', '徐惠彬', '徐惠彬（1959.7.6- ）金属材料专家,生于吉林省大安市，原籍河北省武安市,1982年毕业于阜新矿业学院，1987年获德国克劳斯塔尔工业大学硕士学位，1992年获德国柏林工业大学博士学位，1993年在德国慕尼黑工业大学完成博士后研究后回国,现任北京航空航天大学常务副校长、教授,兼任国务院学位委员会材料科学与工程评议组召集人、总装备部先进材料技术专业组成员,,,,,,,,,,,,,
299', '徐南平', '徐南平（1961.4.5- ），化学工程专家,出生于安徽省桐城市,1989年毕业于南京化工学院（现南京工业大学），获工学博士学位,现任材料化学工程国家重点实验室主任，科技部党组成员、副部长,,,,,,,,,,,,,,
300', '薛群基', '薛群基（1942.11.28- ）特种润滑材料专家,山东省沂南县人,1965年毕业于山东大学，1967年毕业于中国科学院兰州化学物理研究所获硕士学位,现任中科院兰州化学物理研究所学术委员会主任，中科院宁波材料技术与工程研究所科学技术委员会主任，研究员,,,,,,,,,,,,,,
301', '张联盟', '张联盟（1955.01.23-），功能梯度复合材料专家，湖北天门人,1997年获日本东北大学材料物性学工学博士学位,现任武汉理工大学材料学科首席教授、特种功能材料技术教育部重点实验室主任，兼任中国硅酸盐学会副理事长、国务院学位委员会材料学科评议组成员、教育部科技委员会国防科技学部委员、国际梯度材料顾问委员会（IAC-FGM）委员等,,,,,,,,,,,,,,,
302', '张生勇', '张生勇（1939.11.17- ）精细化工专家，陕西省咸阳市人,1964年毕业于西北大学化学系,1982年获法国巴黎南大学博士学位,曾在复旦大学任教,现为第四军医大学教授,我国手性催化技术的主要开拓者之一,三十多年来，一直从事手性催化剂的设计、合成及不对称催化反应的研究，对烯烃、酮和亚胺的不对称催化氢化反应和烯烃的不对称氧化反应进行了深入的探讨,设计合成了若干高效的手性催化剂，在许多底物的不对称催化氢化反应和烯烃的不对称氧化反应中得到了98%ee以上的立体选择性,率先在我国将手性催化技术用于工业生产D-和L-苯丙氨酸、抗癌药多烯紫杉醇和卡巴他赛、手性除草剂(S)-异丙甲草胺等，为我国的精细化学品生产技术的进步做出了贡献,发表论文178篇（其中SCI收录108篇），获国家发明专利12项,出版《不对称催化反应》等专著4部,,,,,,,
303', '张文海', '张文海（1939.2.1- ）有色金属冶金专家,生于福建省福州市，原籍福建省长乐县,1958年就读厦门大学，1963年毕业于中南矿冶学院,现任中国瑞林工程技术有限公司总设计师,曾任江西省科协副主席，江西省知识分子联谊会会长，国家有色金属短流程节能冶金战略联盟专家委员会主任委员，江西理工大学学术委员会主任委员，中国科学院“绿色冶金国家重点实验室”、同济大学“污染控制与资源化国家重点实验室”学术委员会委员等,,,,,,,,,,,,,
304', '张耀明', '张耀明（1943.12.9- ）无机非金属材料专家,江苏省无锡市人,1965年毕业于上海同济大学应用物理系,南京玻璃纤维研究设计院高级工程师、原院长、南京市科协主席,长期从事非通信光纤和特种玻纤领域的研究,首创了代铂炉拉制高强度玻璃纤维及丝根针管风冷技术，成为新型特种玻纤拉丝工艺的技术基础；主抓的防热材料用立体织物和天线罩用玻璃纤维仿形织物的配套研制工作，成功应用于TS导弹等国防军工重要配套部件中；首创了20孔双坩埚拉丝工艺技术和特大双机头拉丝机、多排多孔共挤塑料光纤工艺等；研究成功的多组分玻璃光纤、塑料光纤、传象束等非通信光纤制造技术达世界先进水平，部分技术处国际领先；发明了全自动跟踪太阳的采光装置，其关键技术处于世界前沿水平；推动了我国非通信光纤领域的产业化发展,多次获得国家和省部级奖励，“20孔双坩埚光纤拉制工艺和TG-1型特大双机头拉丝机”获1992年国家发明二等奖，“四孔双坩埚拉制光学光纤的工艺设备及其利用”“31-1、2织物”“系列光纤传象束和工业内窥镜研究和开发”分别获1985年、1995年和2001年国家科技进步二等奖，高强4号纤维获2002年光华奖,获准发明专利20项，发表论文19篇,,,,,,,,,,
305', '郑裕国', '郑裕国（1961.11.05-），生物化工专家,浙江象山人,1983年毕业于浙江工学院并留校任教，先后在该校获工学硕士、博士学位,现任浙江工业大学生物工程学院院长、教授，兼任生物转化与生物净化教育部工程研究中心主任、浙江省生物有机合成技术研究重点实验室主任、手性生物制造浙江省工程实验室主任、国家化学原料药合成工程技术研究中心副主任等职,,,,,,,,,,,,,,
306', '周济', '周济（1962.02.10-），无机非金属材料专家,吉林九台人,1991年毕业于北京大学，获理学博士学位,现任清华大学教授、博士生导师,兼任中国电子学会元件分会主任委员,,,,,,,,,,,,,
307', '周克崧', '周克崧，出生于1941年02月04日，材料表面工程专家，湖南省长沙 市人,1965年毕业于清华大学,现任广东省科协副主席,曾任 全国材料研究学会常务理事,,,,,,,,,,,,,,
308', '周廉', '周廉，1940年3月出生，吉林省舒兰县人,著名的材料科学家，中国工程院院士,1963年毕业于东北工学院，1994年遴选为中国工程院首批院士,现任西北有色金属研究院名誉院长、南京工业大学新材料研究院院长、陕西科技大学名誉校长，兼任国家新材料产业发展战略咨询委员会主任，曾任西北有色金属研究院院长、中国材料研究学会理事长、中国工程院冶金、化工与材料学部主任、国际材联主席等职位以及全国人大九届及十届代表,主要研究领域为超导材料、钛合金、生物材料及3D打印材料等,共荣获包括国家发明二等奖在内的国家、省部级科技成果奖励22项、国家发明专利16项,长期活跃在国内外材料学术界，享有较高知名度,多次主持和参加国内外重大学术活动，并主持了航空材料、海洋材料、3D打印材料等多项中国工程院咨询项目,受聘于西北工业大学、西安交通大学、北京航空航天大学、北京科技大学、北京工业大学、东北大学等国内多所重点大学兼职教授和博士生导师，在国内外重要会议和期刊上发表论文400多篇，培养博士研究生80余名,,,,,,,,,
309', '周玉', '周玉（1955.7.1- ）先进陶瓷材料学家,黑龙江省五常市人,1982年毕业于哈尔滨工业大学金属材料及工艺系,1989年哈尔滨工业大学和日本东京大学中日联合培养博士，获博士学位,英国利兹大学访问学者,中国工程院院士，世界陶瓷学院院士,现任哈工大教授、博士生导师、校长,主要从事陶瓷相变与韧化、陶瓷复合材料抗热震与耐烧蚀性能及其在航天防热部件上应用等研究,发明了新型防热陶瓷复合材料并成功应用于航天型号,获国家技术发明二等奖1项、省部级科技奖10项、国家发明专利60余项；出版专著教材5部，获全国高校优秀教材一等奖1项,发表SCI、EI收录论文400余篇，论著被国内外他引4000余次；在《光明日报》和《中国高等教育》等上发表高等教育与管理方面的文章20余篇；培养博士、硕士各40多名,曾获国家“有突出贡献的中青年专家”、“中国青年科学家奖”和“桥口隆吉基金奖”等荣誉称号,,,,,,
310', '陈丙珍(女)', '陈丙珍（女）（1936.5.5- ）化工系统工程专家，出生于江苏省无锡市,1962年毕业于莫斯科门捷列夫化工学院，获副博士学位,现任清华大学化工系教授、博士生导师,兼任国际学术期刊“Computers & Chemical Engineering”编委，“中国化学工程学报（英文）”副主编等职,曾担任第8届过程系统工程会议（2003）国际组委会主席,,,,,,,,,,,,,
311', '陈景', '陈景（1935.03.09- ）贵金属冶金专家,云南省大理市人,1958年至2005年在昆明贵金属研究所工作，现为云南大学教授,中国工程院院士,,,,,,,,,,,,,,
312', '陈清如', '陈清如（1926.12.3- ）矿物加工专家,浙江省杭州市人,1952年毕业于唐山交通大学,中国矿业大学教授,中国工程院院士,长期致力于选矿理论和工程实践的研究，是我国矿物加工学科的奠基者和开拓者之一,主持建立了我国第一座重介质旋流器末煤选煤厂，指导研究设计了我国第一台筛下空气室跳汰机，解决了我国跳汰选煤机的大型化；建立了 “粒群透筛概率”的筛分理论，研制成功煤用概率分级筛系列设备，较好地解决了潮湿细粒煤的筛分，经济效益显著；成功地创建了“空气重介质稳定流态化”的选矿理论和技术，并建立了世界上第一座高效空气重介质流化床干法选煤示范厂,获得国家科技进步二等奖2项、国家技术发明三等奖1项等省、部级以上奖励13项,1990年获得全国“五一”劳动奖章和全国优秀教育工作者称号,2010年被授予国际选煤大会国际组委会首次设立的“终身成就奖”（IOC Chairman’s Lifetime Achievement Award）,发表论文180多篇，出版论著12部,,,,,,,
